concordances	Lemma form	Annotations	
in cima alla collinetta. Una nuova ombra < prende >  vita  ma questa volta sono io a scendere 	prendere vita	1	
questi anni tormentah, nei quali sembrano < prendere >  vigore  movimenti razzisti, violenti e intolleranti 	prendere vigore	1	
Hanno votato sì 164 Hanno votato no 256). < Prendo >  atto  che l' onorevole Pinto non è riuscita 	prendere atto	1	
all' interno di una famiglia che decide di < prendersi >  cura  di una nonna malata, e quindi il problema 	prendere cura	1	
. COMPETENZE ESCLUSIVE E CONCORRENTI Pur < prendendo >  atto  della scelta di far rientrare tra  	prendere atto	1	
Tutte le figure descritte nell' Apocalisse < presero >  corpo  in personaggi trasposti nel tempo 	prendere corpo	1	
all' adozione ovvero, in caso contrario, < prende >  atto  del mancato accordo e ne dà immediata 	prendere atto	1	
condannato a quindici anni di esilio; di giá < prendeva >  commiato  dalla moglie e dai figli: un ordine 	prendere commiato	1	
sperimentazione a Pisa, dove 100 giovani volontari si < prendono >  cura  tutti i giorni di 282 anziani non  	prendere cura	1	
sonnacchioso centro termale del padovano, a < prendersi >  carico  di scrivere un nuovo capitolo nel 	prendere carico	1	
tendenze stanno spingendo alcune città a < prendere >  misure  drastiche per limitare l' espansione 	prendere misure	0	
 abbiano ancora compiuto 23 anni possono < prendere >  parte  alle manifestazioni internazionali 	prendere parte	1	
 contribuire al dibattito sociale, a far < prendere >  coscienza  di certe tematiche. E molte erano 	prendere coscienza	1	
rappresentanti dei governi. Duecento tiratori scelti < prenderanno >  posto  sui tetti degli edifici del centro 	prendere posto	1	
 nostri spazi di aggregazione ... E poi, < prendendo >  spunto  dai dianetici ripetiamo la cosa  	prendere spunto	1	
contrapposti, bensì chiedendo a ciascun fronte di < prendere >  atto  delle buone ragioni dell' altro (perché 	prendere atto	1	
 potuto fare benissimo radiolondra e io: < prendere >  appunti  e riportare. invece: 3 ministri 	prendere appunti	0	
aggancia a un certo neurone e decidere di < prendere >  contatto  con altri neuroni. A questa duttilità 	prendere contatto	1	
disciplina dei fenomeni migratori. La Commissione < prende >  atto  . Antonio RUBERTI, presidente, segnala 	prendere atto	1	
altri alpeggi. Alcuni tornanti consentono di < prendere >  quota  , si ignora una deviazione sulla  	prendere quota	1	
gelato era buonissimo. - Il centrodestra di < prende >  posizione  sulle recenti polemiche sulla 	prendere posizione	1	
teorico-pratico di Maslow ed il secondo riflette e < prende >  spunto  dagli importanti contributi emersi 	prendere spunto	1	
Scampanata ", così si chiama la sua commedia, che < prende >  nome  dai campanacci che alcune persone  	prendere nome	1	
vigenza, ora riferito al 2003 - 2005. Si < prende >  atto  del tentativo del Piano di esprimere 	prendere atto	1	
e troverò una famiglia affettuosa che si < prenderà >  cura  di me nel migliore dei modi. Sono  	prendere cura	1	
conoscerlo, era la prima volta che lo vedevo! < Preso >  atto  del mio silenzio, distolse lo sguardo 	prendere atto	1	
forum che insegna e comunque quasi tutti < prendono >  lezioni  quindi le dritte non mancheranno 	prendere lezioni	0	
rilievo. Il sottosegretario Roberto TORTOLI < prende >  atto  della relazione illustrativa svolta 	prendere atto	1	
incusso timore a molte persone deputate a < prendere >  decisioni  importanti, ma quando lo stesso 	prendere decisioni	1	
giorni di cosiddetta pace armata prima di < prendere >  decisioni  affrettate ». L ´ INTERVISTA  	prendere decisioni	1	
 una direzione morale ai suoi giorni? Ha < preso >  parte  alla rivoluzione francese, alle repubbliche 	prendere parte	1	
 per la presentazione delle candidature, < prende >  parte  un rappresentante per ciascuno dei 	prendere parte	1	
che trovava più vicino! Da questa reazione < prende >  origine  la prima tecnica di pesca subacquea 	prendere origine	0	
nel sito web festaunita.it Con la Festa ha < preso >  avvio  un anno politico cruciale per Bologna 	prendere avvio	1	
nebbia. Mi agitavo e vedeva il mio respiro < prendere >  forma  nel vapore che usciva dalla mia bocca 	prendere forma	1	
tecnico-scientifico fino a tutto il 30 settembre 1998; < Preso >  atto  della nota inviata dal Presidente  	prendere atto	1	
quando non avranno più una famiglia che si < prenda >  cura  di loro. Aiutiamoli facendo, per quest' 	prendere cura	1	
rilevato dalla ditta Guerrera M. Teresa. Si < prende >  atto  della documentazione allegata alla 	prendere atto	1	
politico in cui si colloca. La capacità di < prendere >  decisioni  e di risolvere problemi in modo 	prendere decisioni	1	
Successivamente, il 16 novembre del 1824, < prese >  parte  a Firenze a alla prima di FEDRA,  	prendere parte	1	
PRESIDENTE « Questa città deve svegliarsi, deve < prendere >  coscienza  della sua nuova identità » Si 	prendere coscienza	1	
internazionali. Con sempe maggiore frequenza si deve < prendere >  atto  , poi, che il limite convenzionale 	prendere atto	1	
dalla Conferenza Organizzativa biennale; b) < prendere >  iniziative  per lo studio e la soluzione 	prendere iniziative	0	
coloro che, aderendo alla Campagna, hanno < preso >  carta  e penna e hanno scritto alle loro 	prendere carta	0	3
pilota in cui ai pazienti viene chiesto di < prendersi >  cura  della propria salute garantendo loro 	prendere cura	1	
Franck, si fa convincere a giocare, perde e < prende >  soldi  in prestito da Billy Agnes, che ha 	prendere soldi	0	
hai posto nello stesso momento in cui ne < prendevi >  possesso  per mezzo del Santo Battesimo. 	prendere possesso	0	
commercializzandolo con accortezza e fantasia, < prendendosi >  cura  dei clienti e, di lì, costruendo un 	prendere cura	0	
obbligatoriamente attendere fino al 9 gennaio per poter < prendere >  visione  degli atti e iniziare a predisporre 	prendere visione	1	
libere istituzioni dello Stato ». Al raduno < prendono >  parte  oltre 15.000 Carabinieri in congedo 	prendere parte	1	
 tutto). All' inizio del 2002, quando ha < preso >  corpo  il dibattito sulle trivellazioni  	prendere corpo	1	
secondo il principio di sussidiarietà. 6. < Preso >  atto  degli orientamenti decisi dal consiglio 	prendere atto	1	
opinioni, per quanto autorevoli, di chi vi ha < preso >  parte  , senza pretese di valore erga omnes 	prendere parte	1	
davvero piacevoli di quell' epoca. Poi abbiamo < preso >  strade  davvero diverse, Kai ha fatto il 	prendere strade	0	
 mi stupisce affatto che la chiesa abbia < preso >  posizione  e si sia attivata per la morale 	prendere posizione	1	
Amministrazione nella seduta dell' 11.04.2000, che, < preso >  atto  della disponibilità manifestata in 	prendere atto	1	
valutazione comparativa in questione e è stato < preso >  atto  dei nominativi dei candidati che hanno 	prendere atto	1	
corso di formazione per giovani che dovranno < prendere >  contatto  con le prostitute e reinserirle 	prendere contatto	1	
